student_number,academic_year,school_id,grade,exam_grade,subject,percent_correct
303001216,2019,1,11,11,Math,55.17
303001216,2019,1,11,11,ELA,62.5
701156033,2019,1,9,9,Math,25.86
701156033,2019,1,9,9,ELA,22.92
303001311,2019,1,9,9,Math,53.45
303001311,2019,1,9,9,ELA,40.63
304011,2019,1,11,11,Math,55.17
304011,2019,1,11,11,ELA,56.25
2021014,2019,1,10,10,Math,46.55
2021014,2019,1,10,10,ELA,46.88
701156651,2019,1,11,11,Math,25.86
701156651,2019,1,11,11,ELA,29.17
3042022013,2019,1,9,9,Math,56.9
3042022013,2019,1,9,9,ELA,79.17
305001279,2019,1,9,9,Math,27.59
305001279,2019,1,9,9,ELA,34.38
30200005,2019,1,9,9,Math,48.28
30200005,2019,1,9,9,ELA,23.96
393145082,2019,1,9,9,Math,25.86
393145082,2019,1,9,9,ELA,16.67
303001312,2019,1,9,9,Math,22.41
303001312,2019,1,9,9,ELA,36.46
303001201,2019,1,11,11,Math,75.86
303001201,2019,1,11,11,ELA,56.25
30200006,2019,1,11,11,Math,68.97
30200006,2019,1,11,11,ELA,62.5
305001447,2019,1,11,11,Math,32.76
305001447,2019,1,11,11,ELA,29.17
2021017,2019,1,10,10,Math,62.07
2021017,2019,1,10,10,ELA,69.79
304013,2019,1,11,11,Math,67.24
304013,2019,1,11,11,ELA,64.58
3042022014,2019,1,9,9,Math,48.28
3042022014,2019,1,9,9,ELA,48.96
302001273,2019,1,10,10,Math,51.72
302001273,2019,1,10,10,ELA,56.25
302001496,2019,1,10,10,Math,15.52
302001496,2019,1,10,10,ELA,22.92
305002350,2019,1,11,11,Math,27.59
305002350,2019,1,11,11,ELA,50
30200008,2019,1,11,11,Math,48.28
30200008,2019,1,11,11,ELA,56.25
701152655,2019,1,11,11,Math,20.45
701152655,2019,1,11,11,ELA,33.33
701152663,2019,1,11,11,Math,34.48
701152663,2019,1,11,11,ELA,52.08
302001109,2019,1,11,11,Math,41.38
302001109,2019,1,11,11,ELA,44.79
303001315,2019,1,9,9,Math,58.62
303001315,2019,1,9,9,ELA,62.5
304015,2019,1,11,11,Math,34.48
304015,2019,1,11,11,ELA,34.38
3042022015,2019,1,9,9,Math,29.31
3042022015,2019,1,9,9,ELA,20.83
304044,2019,1,11,11,Math,60.34
304044,2019,1,11,11,ELA,36.46
30200009,2019,1,10,10,Math,13.79
30200009,2019,1,10,10,ELA,20.83
302001275,2019,1,10,10,Math,41.38
302001275,2019,1,10,10,ELA,27.08
564410086,2019,1,10,10,Math,51.72
564410086,2019,1,10,10,ELA,42.71
301001546,2019,1,11,11,Math,48.28
301001546,2019,1,11,11,ELA,71.88
306001323,2019,1,11,11,Math,34.48
306001323,2019,1,11,11,ELA,39.58
486168119,2019,1,9,9,Math,37.93
486168119,2019,1,9,9,ELA,33.33
302001129,2019,1,11,11,Math,44.83
302001129,2019,1,11,11,ELA,60.42
303001318,2019,1,9,9,Math,58.62
303001318,2019,1,9,9,ELA,61.46
303001319,2019,1,9,9,Math,46.55
303001319,2019,1,9,9,ELA,32.29
701153786,2019,1,10,10,Math,55.17
701153786,2019,1,10,10,ELA,58.33
3042022017,2019,1,9,9,Math,36.21
3042022017,2019,1,9,9,ELA,34.38
701158153,2019,1,10,10,Math,34.48
701158153,2019,1,10,10,ELA,38.54
303001280,2019,1,9,9,Math,34.48
303001280,2019,1,9,9,ELA,41.67
302001335,2019,1,9,9,Math,39.66
302001335,2019,1,9,9,ELA,29.17
701156016,2019,1,9,9,Math,20.69
701156016,2019,1,9,9,ELA,13.54
2021020,2019,1,10,10,Math,46.55
2021020,2019,1,10,10,ELA,53.13
304017,2019,1,11,11,Math,24.14
304017,2019,1,11,11,ELA,47.92
30200010,2019,1,10,10,Math,29.31
30200010,2019,1,10,10,ELA,27.08
302001169,2019,1,10,10,Math,24.14
302001169,2019,1,10,10,ELA,25
305001457,2019,1,10,10,Math,63.79
305001457,2019,1,10,10,ELA,68.75
302001276,2019,1,10,10,Math,32.76
302001276,2019,1,10,10,ELA,38.54
701158958,2019,1,11,11,Math,18.97
701158958,2019,1,11,11,ELA,34.38
305002380,2019,1,10,10,Math,43.1
305002380,2019,1,10,10,ELA,37.5
882552538,2019,1,10,10,Math,56.9
882552538,2019,1,10,10,ELA,59.38
304019,2019,1,11,11,Math,72.41
304019,2019,1,11,11,ELA,50
301001548,2019,1,10,10,Math,36.21
301001548,2019,1,10,10,ELA,31.25
305001459,2019,1,10,10,Math,36.21
305001459,2019,1,10,10,ELA,54.17
701153779,2019,1,10,10,Math,39.66
701153779,2019,1,10,10,ELA,45.83
2021001,2019,1,9,9,Math,29.31
2021001,2019,1,9,9,ELA,31.25
301001549,2019,1,11,11,Math,62.07
301001549,2019,1,11,11,ELA,77.08
303001205,2019,1,11,11,Math,53.45
303001205,2019,1,11,11,ELA,67.71
3042022081,2019,1,9,9,Math,27.59
3042022081,2019,1,9,9,ELA,43.75
701156640,2019,1,9,9,Math,29.31
701156640,2019,1,9,9,ELA,45.83
301001552,2019,1,11,11,Math,36.21
301001552,2019,1,11,11,ELA,46.88
302001278,2019,1,10,10,Math,39.66
302001278,2019,1,10,10,ELA,29.17
2021025,2019,1,9,9,Math,39.66
2021025,2019,1,9,9,ELA,45.83
2021027,2019,1,10,10,Math,15.52
2021027,2019,1,10,10,ELA,47.92
2021026,2019,1,9,9,Math,24.14
2021026,2019,1,9,9,ELA,41.67
304020,2019,1,10,10,Math,39.66
304020,2019,1,10,10,ELA,42.71
470443930,2019,1,10,10,Math,32.76
470443930,2019,1,10,10,ELA,43.75
304021,2019,1,10,10,Math,20.69
304021,2019,1,10,10,ELA,16.67
2021029,2019,1,9,9,Math,43.1
2021029,2019,1,9,9,ELA,20.83
302001315,2019,1,10,10,Math,31.03
302001315,2019,1,10,10,ELA,18.75
303001324,2019,1,9,9,Math,41.38
303001324,2019,1,9,9,ELA,28.13
304022,2019,1,11,11,Math,44.83
304022,2019,1,11,11,ELA,50
305002328,2019,1,10,10,Math,51.72
305002328,2019,1,10,10,ELA,50
302001155,2019,1,9,9,Math,37.93
302001155,2019,1,9,9,ELA,45.83
701158959,2019,1,11,11,Math,20.69
701158959,2019,1,11,11,ELA,28.13
303001098,2019,1,11,11,Math,29.31
303001098,2019,1,11,11,ELA,41.67
701156017,2019,1,9,9,Math,53.45
701156017,2019,1,9,9,ELA,44.79
302001280,2019,1,10,10,Math,56.9
302001280,2019,1,10,10,ELA,41.67
303001325,2019,1,9,9,Math,24.14
303001325,2019,1,9,9,ELA,21.88
302001112,2019,1,10,10,Math,0
302001112,2019,1,10,10,ELA,1.04
306001324,2019,1,9,9,Math,25.86
306001324,2019,1,9,9,ELA,16.67
302001319,2019,1,10,10,Math,39.66
302001319,2019,1,10,10,ELA,37.5
302001122,2019,1,11,11,Math,46.55
302001122,2019,1,11,11,ELA,50
306001180,2019,1,11,11,Math,17.24
306001180,2019,1,11,11,ELA,32.29
701156642,2019,1,9,9,Math,31.03
701156642,2019,1,9,9,ELA,21.88
701153834,2019,1,9,9,Math,25.86
701153834,2019,1,9,9,ELA,40.63
305001274,2019,1,10,10,Math,67.24
305001274,2019,1,10,10,ELA,72.92
301001505,2019,1,11,11,Math,48.28
301001505,2019,1,11,11,ELA,31.25
301001353,2019,1,10,10,Math,50
301001353,2019,1,10,10,ELA,64.58
3042022047,2019,1,9,9,Math,46.55
3042022047,2019,1,9,9,ELA,47.92
305002382,2019,1,9,9,Math,60.34
305002382,2019,1,9,9,ELA,41.67
303001327,2019,1,9,9,Math,51.72
303001327,2019,1,9,9,ELA,53.13
303001328,2019,1,9,9,Math,37.93
303001328,2019,1,9,9,ELA,29.17
306001333,2019,1,11,11,Math,39.66
306001333,2019,1,11,11,ELA,40.63
701152690,2019,1,10,10,Math,25.86
701152690,2019,1,10,10,ELA,38.54
701153824,2019,1,9,9,Math,22.41
701153824,2019,1,9,9,ELA,30.21
3042022084,2019,1,9,9,Math,29.31
3042022084,2019,1,9,9,ELA,18.75
2021034,2019,1,10,10,Math,46.55
2021034,2019,1,10,10,ELA,63.54
2021035,2019,1,9,9,Math,46.55
2021035,2019,1,9,9,ELA,47.92
301001181,2019,1,11,11,Math,39.66
301001181,2019,1,11,11,ELA,35.42
302001283,2019,1,10,10,Math,43.1
302001283,2019,1,10,10,ELA,41.67
302001284,2019,1,10,10,Math,34.48
302001284,2019,1,10,10,ELA,28.13
303001162,2019,1,11,11,Math,41.38
303001162,2019,1,11,11,ELA,37.5
30200011,2019,1,10,10,Math,0
30200011,2019,1,10,10,ELA,0
303001330,2019,1,9,9,Math,53.45
303001330,2019,1,9,9,ELA,66.67
303001163,2019,1,11,11,Math,63.79
303001163,2019,1,11,11,ELA,60.42
304202285,2019,1,9,9,Math,62.07
304202285,2019,1,9,9,ELA,61.46
302001765,2019,1,11,11,Math,62.07
302001765,2019,1,11,11,ELA,67.71
304028,2019,1,11,11,Math,53.45
304028,2019,1,11,11,ELA,33.33
2021036,2019,1,9,9,Math,41.38
2021036,2019,1,9,9,ELA,39.58
303001105,2019,1,11,11,Math,31.03
303001105,2019,1,11,11,ELA,27.08
303001106,2019,1,11,11,Math,22.41
303001106,2019,1,11,11,ELA,33.33
3042022024,2019,1,9,9,Math,56.9
3042022024,2019,1,9,9,ELA,54.17
303001331,2019,1,9,9,Math,36.21
303001331,2019,1,9,9,ELA,28.13
2021037,2019,1,10,10,Math,46.55
2021037,2019,1,10,10,ELA,59.38
306001188,2019,1,11,11,Math,31.03
306001188,2019,1,11,11,ELA,34.38
302001285,2019,1,10,10,Math,70.69
302001285,2019,1,10,10,ELA,73.96
2021038,2019,1,9,9,Math,39.66
2021038,2019,1,9,9,ELA,38.54
701156394,2019,1,9,9,Math,18.97
701156394,2019,1,9,9,ELA,43.75
2021039,2019,1,9,9,Math,41.38
2021039,2019,1,9,9,ELA,67.71
104513935,2019,1,10,10,Math,27.59
104513935,2019,1,10,10,ELA,31.25
304030,2019,1,11,11,Math,55.17
304030,2019,1,11,11,ELA,72.92
3042020101,2019,1,11,11,Math,70.69
3042020101,2019,1,11,11,ELA,59.38
305002124,2019,1,11,11,Math,56.9
305002124,2019,1,11,11,ELA,51.04
701158962,2019,1,11,11,Math,31.03
701158962,2019,1,11,11,ELA,32.29
701158954,2019,1,10,10,Math,25.86
701158954,2019,1,10,10,ELA,63.54
302001217,2019,1,9,9,Math,53.45
302001217,2019,1,9,9,ELA,43.75
3042022031,2019,1,9,9,Math,50
3042022031,2019,1,9,9,ELA,61.46
701156091,2019,1,11,11,Math,43.1
701156091,2019,1,11,11,ELA,50
301001560,2019,1,11,11,Math,51.72
301001560,2019,1,11,11,ELA,36.46
305001454,2019,1,10,10,Math,39.66
305001454,2019,1,10,10,ELA,38.54
303001213,2019,1,11,11,Math,60.34
303001213,2019,1,11,11,ELA,53.13
2021040,2019,1,10,10,Math,36.21
2021040,2019,1,10,10,ELA,56.25
305002229,2019,1,10,10,Math,60.34
305002229,2019,1,10,10,ELA,39.58
952228626,2019,1,11,11,Math,18.97
952228626,2019,1,11,11,ELA,23.96
305003356,2019,1,10,10,Math,46.55
305003356,2019,1,10,10,ELA,63.54
2021041,2019,1,10,10,Math,68.97
2021041,2019,1,10,10,ELA,83.33
303001188,2019,1,10,10,Math,39.66
303001188,2019,1,10,10,ELA,31.25
306001282,2019,1,9,9,Math,32.76
306001282,2019,1,9,9,ELA,40.63
304036,2019,1,9,9,Math,29.31
304036,2019,1,9,9,ELA,10.42
3042020088,2019,1,11,11,Math,48.28
3042020088,2019,1,11,11,ELA,70.83
306001300,2019,1,10,10,Math,60.34
306001300,2019,1,10,10,ELA,71.88
302001133,2019,1,11,11,Math,56.9
302001133,2019,1,11,11,ELA,68.75
701156085,2019,1,9,9,Math,67.24
701156085,2019,1,9,9,ELA,58.33
305002266,2019,1,11,11,Math,41.38
305002266,2019,1,11,11,ELA,36.46
2021043,2019,1,10,10,Math,60.34
2021043,2019,1,10,10,ELA,52.08
491472423,2019,1,10,10,Math,36.21
491472423,2019,1,10,10,ELA,37.5
302001134,2019,1,11,11,Math,20.69
302001134,2019,1,11,11,ELA,19.79
305001431,2019,1,10,10,Math,65.52
305001431,2019,1,10,10,ELA,53.13
306001114,2019,1,10,10,Math,48.28
306001114,2019,1,10,10,ELA,50
303001113,2019,1,11,11,Math,29.55
303001113,2019,1,11,11,ELA,44.44
302001322,2019,1,10,10,Math,32.76
302001322,2019,1,10,10,ELA,38.54
302001323,2019,1,9,9,Math,25.86
302001323,2019,1,9,9,ELA,9.38
306001094,2019,1,9,9,Math,39.66
306001094,2019,1,9,9,ELA,57.29
3042022035,2019,1,9,9,Math,10.34
3042022035,2019,1,9,9,ELA,22.92
303001341,2019,1,9,9,Math,56.9
303001341,2019,1,9,9,ELA,52.08
306001112,2019,1,10,10,Math,31.03
306001112,2019,1,10,10,ELA,11.46
673999326,2019,1,10,10,Math,56.9
673999326,2019,1,10,10,ELA,42.71
303001044,2019,1,11,11,Math,20.69
303001044,2019,1,11,11,ELA,54.17
3042022037,2019,1,9,9,Math,32.76
3042022037,2019,1,9,9,ELA,32.29
304039,2019,1,11,11,Math,46.55
304039,2019,1,11,11,ELA,69.79
301001563,2019,1,11,11,Math,48.28
301001563,2019,1,11,11,ELA,54.17
701156019,2019,1,9,9,Math,17.24
701156019,2019,1,9,9,ELA,29.17
301001351,2019,1,10,10,Math,31.03
301001351,2019,1,10,10,ELA,45.83
3042022038,2019,1,9,9,Math,53.45
3042022038,2019,1,9,9,ELA,57.29
701152532,2019,1,11,11,Math,53.45
701152532,2019,1,11,11,ELA,75
701152696,2019,1,11,11,Math,43.1
701152696,2019,1,11,11,ELA,56.25
304041,2019,1,11,11,Math,50
304041,2019,1,11,11,ELA,58.33
305001276,2019,1,10,10,Math,41.38
305001276,2019,1,10,10,ELA,39.58
701156020,2019,1,9,9,Math,17.24
701156020,2019,1,9,9,ELA,16.67
701156644,2019,1,10,10,Math,27.59
701156644,2019,1,10,10,ELA,35.42
3042022039,2019,1,9,9,Math,29.31
3042022039,2019,1,9,9,ELA,29.17
3042022040,2019,1,9,9,Math,36.21
3042022040,2019,1,9,9,ELA,34.38
303001196,2019,1,11,11,Math,63.79
303001196,2019,1,11,11,ELA,50
301001566,2019,1,11,11,Math,34.48
301001566,2019,1,11,11,ELA,37.5
303001345,2019,1,9,9,Math,41.38
303001345,2019,1,9,9,ELA,18.75
301001568,2019,1,11,11,Math,32.76
301001568,2019,1,11,11,ELA,59.38
301001569,2019,1,11,11,Math,31.03
301001569,2019,1,11,11,ELA,41.67
302001288,2019,1,10,10,Math,55.17
302001288,2019,1,10,10,ELA,51.04
701153780,2019,1,10,10,Math,53.45
701153780,2019,1,10,10,ELA,70.83
303001346,2019,1,9,9,Math,34.48
303001346,2019,1,9,9,ELA,7.29
305001481,2019,1,9,9,Math,22.41
305001481,2019,1,9,9,ELA,23.96
2021052,2019,1,10,10,Math,39.66
2021052,2019,1,10,10,ELA,43.75
302001045,2019,1,9,9,Math,43.1
302001045,2019,1,9,9,ELA,53.13
305001421,2019,1,11,11,Math,24.14
305001421,2019,1,11,11,ELA,39.58
303001348,2019,1,9,9,Math,34.48
303001348,2019,1,9,9,ELA,22.92
2021053,2019,1,10,10,Math,56.9
2021053,2019,1,10,10,ELA,65.63
303001349,2019,1,9,9,Math,41.38
303001349,2019,1,9,9,ELA,37.5
302001289,2019,1,10,10,Math,55.17
302001289,2019,1,10,10,ELA,48.96
310001118,2019,1,9,9,Math,32.76
310001118,2019,1,9,9,ELA,38.54
302001033,2019,1,11,11,Math,34.48
302001033,2019,1,11,11,ELA,17.71
303001350,2019,1,9,9,Math,36.21
303001350,2019,1,9,9,ELA,34.38
305001420,2019,1,10,10,Math,34.48
305001420,2019,1,10,10,ELA,32.29
302001036,2019,1,11,11,Math,50
302001036,2019,1,11,11,ELA,69.79
302001290,2019,1,10,10,Math,82.76
302001290,2019,1,10,10,ELA,75
303001221,2019,1,11,11,Math,48.28
303001221,2019,1,11,11,ELA,50
3042022043,2019,1,9,9,Math,62.07
3042022043,2019,1,9,9,ELA,58.33
306001087,2019,1,11,11,Math,44.83
306001087,2019,1,11,11,ELA,69.79
301001578,2019,1,11,11,Math,60.34
301001578,2019,1,11,11,ELA,76.04
701156579,2019,1,9,9,Math,18.97
701156579,2019,1,9,9,ELA,10.42
301001414,2019,1,11,11,Math,31.03
301001414,2019,1,11,11,ELA,46.88
634775998,2019,1,10,10,Math,32.76
634775998,2019,1,10,10,ELA,37.5
301001519,2019,1,11,11,Math,68.97
301001519,2019,1,11,11,ELA,80.21
303001166,2019,1,11,11,Math,44.83
303001166,2019,1,11,11,ELA,67.71
701158151,2019,1,11,11,Math,20.69
701158151,2019,1,11,11,ELA,19.79
702686908,2019,1,10,10,Math,29.31
702686908,2019,1,10,10,ELA,26.04
302001768,2019,1,11,11,Math,44.83
302001768,2019,1,11,11,ELA,43.75
701158494,2019,1,11,11,Math,37.93
701158494,2019,1,11,11,ELA,67.71
305001424,2019,1,10,10,Math,55.17
305001424,2019,1,10,10,ELA,42.71
306001168,2019,1,10,10,Math,65.52
306001168,2019,1,10,10,ELA,55.21
701152656,2019,1,11,11,Math,43.1
701152656,2019,1,11,11,ELA,44.79
701153829,2019,1,10,10,Math,41.38
701153829,2019,1,10,10,ELA,34.38
303001208,2019,1,11,11,Math,58.62
303001208,2019,1,11,11,ELA,38.54
701152669,2019,1,11,11,Math,79.31
701152669,2019,1,11,11,ELA,78.13
302001151,2019,1,10,10,Math,44.83
302001151,2019,1,10,10,ELA,46.88
301001168,2019,1,10,10,Math,51.72
301001168,2019,1,10,10,ELA,60.42
306001281,2019,1,9,9,Math,53.45
306001281,2019,1,9,9,ELA,54.17
248629363,2019,1,9,9,Math,50
248629363,2019,1,9,9,ELA,13.54
319247085,2019,1,10,10,Math,50
319247085,2019,1,10,10,ELA,39.58
701152691,2019,1,9,9,Math,51.72
701152691,2019,1,9,9,ELA,34.38
701156032,2019,1,9,9,Math,37.93
701156032,2019,1,9,9,ELA,31.25
3042022048,2019,1,9,9,Math,44.83
3042022048,2019,1,9,9,ELA,58.33
301001182,2019,1,11,11,Math,53.45
301001182,2019,1,11,11,ELA,78.13
2021056,2019,1,10,10,Math,55.17
2021056,2019,1,10,10,ELA,52.08
305001461,2019,1,9,9,Math,34.48
305001461,2019,1,9,9,ELA,38.54
303001204,2019,1,11,11,Math,48.28
303001204,2019,1,11,11,ELA,60.42
701153837,2019,1,9,9,Math,43.1
701153837,2019,1,9,9,ELA,22.92
690115067,2019,1,11,11,Math,27.59
690115067,2019,1,11,11,ELA,44.79
302001031,2019,1,11,11,Math,63.79
302001031,2019,1,11,11,ELA,66.67
701156643,2019,1,9,9,Math,31.03
701156643,2019,1,9,9,ELA,37.5
701153887,2019,1,10,10,Math,41.38
701153887,2019,1,10,10,ELA,45.83
302001152,2019,1,11,11,Math,55.17
302001152,2019,1,11,11,ELA,48.96
2021057,2019,1,9,9,Math,36.21
2021057,2019,1,9,9,ELA,20.83
154738143,2019,1,9,9,Math,31.03
154738143,2019,1,9,9,ELA,17.71
701153644,2019,1,9,9,Math,22.41
701153644,2019,1,9,9,ELA,23.96
701153892,2019,1,11,11,Math,15.52
701153892,2019,1,11,11,ELA,36.46
701158497,2019,1,11,11,Math,0
701158497,2019,1,11,11,ELA,0
307001088,2019,1,10,10,Math,36.21
307001088,2019,1,10,10,ELA,43.75
302001294,2019,1,10,10,Math,63.79
302001294,2019,1,10,10,ELA,38.54
422019498,2019,1,9,9,Math,22.41
422019498,2019,1,9,9,ELA,21.88
3042022054,2019,1,9,9,Math,37.93
3042022054,2019,1,9,9,ELA,37.5
301001581,2019,1,11,11,Math,41.38
301001581,2019,1,11,11,ELA,66.67
301001582,2019,1,10,10,Math,39.66
301001582,2019,1,10,10,ELA,31.25
302001079,2019,1,9,9,Math,31.03
302001079,2019,1,9,9,ELA,31.25
305003359,2019,1,11,11,Math,36.21
305003359,2019,1,11,11,ELA,47.92
701152680,2019,1,9,9,Math,20.69
701152680,2019,1,9,9,ELA,20.83
303001357,2019,1,9,9,Math,24.14
303001357,2019,1,9,9,ELA,23.96
301001584,2019,1,11,11,Math,48.28
301001584,2019,1,11,11,ELA,37.5
303001209,2019,1,11,11,Math,65.52
303001209,2019,1,11,11,ELA,58.33
302001247,2019,1,9,9,Math,48.28
302001247,2019,1,9,9,ELA,52.08
304051,2019,1,11,11,Math,75.86
304051,2019,1,11,11,ELA,75
701156021,2019,1,9,9,Math,55.17
701156021,2019,1,9,9,ELA,29.17
301001235,2019,1,11,11,Math,0
301001235,2019,1,11,11,ELA,0
2021059,2019,1,9,9,Math,22.41
2021059,2019,1,9,9,ELA,7.29
303001129,2019,1,11,11,Math,48.28
303001129,2019,1,11,11,ELA,10.42
302001295,2019,1,10,10,Math,34.48
302001295,2019,1,10,10,ELA,40.63
304053,2019,1,11,11,Math,53.45
304053,2019,1,11,11,ELA,56.25
701158498,2019,1,9,9,Math,43.1
701158498,2019,1,9,9,ELA,31.25
181745119,2019,1,11,11,Math,43.1
181745119,2019,1,11,11,ELA,43.75
303001178,2019,1,11,11,Math,39.66
303001178,2019,1,11,11,ELA,52.08
896052544,2019,1,9,9,Math,55.17
896052544,2019,1,9,9,ELA,40.63
302001296,2019,1,9,9,Math,17.24
302001296,2019,1,9,9,ELA,20.83
303001361,2019,1,9,9,Math,22.41
303001361,2019,1,9,9,ELA,14.58
302001298,2019,1,9,9,Math,0
302001298,2019,1,9,9,ELA,0
2021060,2019,1,10,10,Math,51.72
2021060,2019,1,10,10,ELA,62.5
